id,lat,lon,stratum,stratum_label,in_pilot,county
29,0.9316473424932976,34.69788054524735,0,Non-cropland,False,bungoma
30,1.007971395352824,34.67955289274329,0,Non-cropland,False,bungoma
31,0.794191555591766,34.73255730947395,1,Cropland,False,bungoma
32,0.8154350078271477,34.455235781630236,0,Non-cropland,False,bungoma
33,-0.7015923707877267,36.933824411565844,0,Non-cropland,False,muranga
34,0.531659600175715,34.422014098614135,1,Cropland,False,bungoma
35,0.6739993081159589,34.43467240957299,1,Cropland,False,bungoma
36,0.8736799566696035,34.629065970597836,0,Non-cropland,False,bungoma
37,0.9191662362915778,34.599688054610134,0,Non-cropland,False,bungoma
38,1.0538162888411688,34.53616607714715,0,Non-cropland,False,bungoma
39,-0.7306495886604201,36.90289550264669,0,Non-cropland,False,muranga
40,1.025423566309914,34.614059142212014,0,Non-cropland,False,bungoma
41,0.48581092165576084,34.423274032293946,1,Cropland,False,bungoma
42,-0.9371273639248872,36.94430600596925,1,Cropland,False,muranga
43,-0.8947145558119479,37.01020022180026,1,Cropland,False,muranga
44,-0.7106187062091956,37.04462672564683,1,Cropland,False,muranga
45,-0.7577245564133768,37.1615262715592,1,Cropland,False,muranga
46,-0.8717899334233855,36.905041553757556,0,Non-cropland,False,muranga
47,0.762984955067396,34.45595766883987,1,Cropland,False,bungoma
48,0.6055512278972124,34.66311706993006,0,Non-cropland,False,bungoma
49,0.7213036126727419,34.667427855915825,1,Cropland,False,bungoma
50,0.6273433062294369,34.573105661410075,1,Cropland,False,bungoma
51,0.7065600518887584,34.886530729700524,1,Cropland,False,bungoma
52,-0.7483403930671432,37.083085057434886,1,Cropland,False,muranga
53,0.7930048845704595,34.40771444181402,0,Non-cropland,False,bungoma
54,-0.8490461731875882,36.85197018043828,0,Non-cropland,False,muranga
55,-0.7054685229132724,36.83503431574918,0,Non-cropland,False,muranga
56,0.5500254758134726,34.61739403509045,1,Cropland,False,bungoma
57,-0.8162870603205822,36.83592484686731,0,Non-cropland,False,muranga
58,-0.6107112198978975,36.80124297068316,0,Non-cropland,False,muranga
59,0.8154346596730278,34.44966598188485,0,Non-cropland,False,bungoma
60,-0.8495902478697737,36.90800088262135,0,Non-cropland,False,muranga
61,-1.0584063004728554,37.333491282789595,0,Non-cropland,False,muranga
62,0.7845148422295198,34.784032484497246,1,Cropland,False,bungoma
63,1.0931555569755242,34.574257063240445,0,Non-cropland,False,bungoma
64,-0.7825316485238926,36.76680826378374,0,Non-cropland,False,muranga
65,0.5636811237190592,34.64308529130309,1,Cropland,False,bungoma
66,-0.6761336986727067,36.746734818483844,0,Non-cropland,False,muranga
67,-0.6677527996004637,37.00796200238022,1,Cropland,False,muranga
68,-0.7869608303770403,36.89114952291419,0,Non-cropland,False,muranga
69,-0.9734946688685185,37.20330960047134,0,Non-cropland,False,muranga
70,1.0152906565615423,34.49924377233361,0,Non-cropland,False,bungoma
71,0.6324081017221455,34.594754944890305,1,Cropland,False,bungoma
72,0.9698980232711845,34.591690821174296,0,Non-cropland,False,bungoma
73,-0.8235117378025099,37.16565165632227,1,Cropland,False,muranga
74,0.8870641670709402,34.64900946824272,0,Non-cropland,False,bungoma
75,0.9075924818348307,34.68126073399465,0,Non-cropland,False,bungoma
76,0.7918399671185139,34.77235408977371,1,Cropland,False,bungoma
77,-1.0107614644545668,37.27987485160183,0,Non-cropland,False,muranga
78,0.6494944554800393,34.46863037985269,1,Cropland,False,bungoma
79,-0.804198025183629,36.90970596332938,0,Non-cropland,False,muranga
80,0.8609275165492016,34.570582807949734,1,Cropland,False,bungoma
81,-0.7176574203759174,37.01360910339995,1,Cropland,False,muranga
82,-0.7792938181290971,37.08434026323438,1,Cropland,False,muranga
83,0.6955243682932052,34.47545531044506,1,Cropland,False,bungoma
84,0.5461372082644519,34.63257539435,1,Cropland,False,bungoma
85,-0.8254080775611792,37.03924729539943,1,Cropland,False,muranga
86,0.8416671744113473,34.62583256128361,0,Non-cropland,False,bungoma
87,0.9748706580224508,34.5600673048575,0,Non-cropland,False,bungoma
88,-0.7070992622868436,37.06336275548564,1,Cropland,False,muranga
89,0.5630443745745747,34.51642437385765,1,Cropland,False,bungoma
90,-0.8257667576668145,36.926738373827675,0,Non-cropland,False,muranga
91,0.8129992192290717,34.84619894734134,1,Cropland,False,bungoma
92,-0.7168445761013714,37.1525607314425,0,Non-cropland,False,muranga
93,0.9491870734665063,34.53428475816937,0,Non-cropland,False,bungoma
94,-0.9269278303763699,37.23728551204862,1,Cropland,False,muranga
95,-0.9304439039314972,37.30102762056246,1,Cropland,False,muranga
96,-1.01717475732295,37.10209289300158,0,Non-cropland,False,muranga
97,-1.0358396516906914,37.40539195403686,1,Cropland,False,muranga
98,-0.7254121844469905,36.833867886059096,0,Non-cropland,False,muranga
99,-0.8140365304062368,36.975507447193614,0,Non-cropland,False,muranga
100,0.9682684453776569,34.54236932024258,0,Non-cropland,False,bungoma
101,0.7426451963493618,34.64892189009974,0,Non-cropland,False,bungoma
102,-0.7729726545545064,37.24749851076156,1,Cropland,False,muranga
103,0.7192147829764072,34.4326035130624,1,Cropland,False,bungoma
104,0.6097105668327095,34.62898117429361,1,Cropland,False,bungoma
105,-0.8467957852959954,37.07071395910311,1,Cropland,False,muranga
106,0.5302142146939796,34.44698694344032,1,Cropland,False,bungoma
107,-1.0349525288224186,37.114375643557395,0,Non-cropland,False,muranga
108,-0.6969015967615999,37.101462222475554,1,Cropland,False,muranga
109,-0.9392935800508353,36.95721571191275,1,Cropland,False,muranga
110,-0.7722548429251795,37.08496776018091,0,Non-cropland,False,muranga
111,0.5038075508876407,34.43566963985791,1,Cropland,False,bungoma
112,-0.8573524603543999,36.94538433005741,1,Cropland,False,muranga
113,0.7351395179199663,34.76813113574269,1,Cropland,False,bungoma
114,-1.0058012262951468,37.21595195816682,0,Non-cropland,False,muranga
115,1.0880895867690905,34.53113309304226,0,Non-cropland,False,bungoma
116,0.8693400273666777,34.68674107574651,0,Non-cropland,False,bungoma
117,0.8573061190161864,34.47984827188696,0,Non-cropland,False,bungoma
118,-0.7491523026660373,37.11517863891824,1,Cropland,False,muranga
119,-0.6442889735202354,36.975690148127626,1,Cropland,False,muranga
120,-0.9492206894892601,36.97111139680443,1,Cropland,False,muranga
121,-0.8570798853608619,37.23262054061169,1,Cropland,False,muranga
122,-0.7781195766947168,37.15919590789863,1,Cropland,False,muranga
123,-0.8467054857573446,37.085954287100876,1,Cropland,False,muranga
124,-0.8706188494819054,37.15839126187678,1,Cropland,False,muranga
125,-0.775049589820711,37.21522550041498,1,Cropland,False,muranga
126,-0.7749620751816589,37.09491863603997,1,Cropland,False,muranga
127,0.4767716313758273,34.49423956671949,0,Non-cropland,False,bungoma
128,0.8328056649577121,34.67757808443046,1,Cropland,False,bungoma
129,0.626531282151414,34.6572778146793,1,Cropland,False,bungoma
130,0.7512361462463731,34.77989957703832,1,Cropland,False,bungoma
131,-0.8391251163935664,37.05861135542079,1,Cropland,False,muranga
132,0.8647247413255807,34.546865852436305,1,Cropland,False,bungoma
133,0.49774853147742604,34.43387333734497,1,Cropland,False,bungoma
134,0.5271434433926613,34.52594763177448,1,Cropland,False,bungoma
135,0.7275407387463063,34.55576482200435,1,Cropland,False,bungoma
136,-0.8902024977135196,37.10944283811965,0,Non-cropland,False,muranga
